Facility,State,Name,Staff Confirmed,Residents confirmed,Staff Deaths,Resident Deaths,Date
Prison,Alabama,State-Wide,1,0,,,4/1/2020
Prison,Alaska,State-Wide,,,,,4/1/2020
Prison,Arizona,State-Wide,,0,,,4/1/2020
Prison,Arkansas,State-Wide,,,,,4/1/2020
Prison,California,ASP-Avenal State Prison ,,0,,,4/1/2020
Prison,California,CAC-California City Correctional Facility ,,0,,,4/1/2020
Prison,California,CAL-Calipatria State Prison ,,0,,,4/1/2020
Prison,California,CCC-California Correctional Center ,,0,,,4/1/2020
Prison,California,CCI-California Correctional Institution ,,0,,,4/1/2020
Prison,California,CCWF-Central California Women’s Facility ,,0,,,4/1/2020
Prison,California,"CEN-California State Prison, Centinela ",,0,,,4/1/2020
Prison,California,CHCF-California Health Care Facility ,1,0,,,4/1/2020
Prison,California,CIM-California Institution for Men ,11,1,,,4/1/2020
Prison,California,CIW-California Institution for Women ,,0,,,4/1/2020
Prison,California,CMC-California Men’s Colony ,,0,,,4/1/2020
Prison,California,CMF-California Medical Facility ,,0,,,4/1/2020
Prison,California,"COR-California State Prison, Corcoran ",,0,,,4/1/2020
Prison,California,CRC-California Rehabilitation Center ,,0,,,4/1/2020
Prison,California,CTF-Correctional Training Facility ,,0,,,4/1/2020
Prison,California,CVSP-Chuckawalla Valley State Prison ,,0,,,4/1/2020
Prison,California,DVI-Deuel Vocational Institution ,,0,,,4/1/2020
Prison,California,FSP-Folsom State Prison ,1,0,,,4/1/2020
Prison,California,HDSP-High Desert State Prison ,,0,,,4/1/2020
Prison,California,ISP-Ironwood State Prison ,,0,,,4/1/2020
Prison,California,KVSP-Kern Valley State Prison ,,0,,,4/1/2020
Prison,California,"LAC-California State Prison, Los Angeles County ",,6,,,4/1/2020
Prison,California,MCSP-Mule Creek State Prison ,,0,,,4/1/2020
Prison,California,NKSP-North Kern State Prison ,,1,,,4/1/2020
Prison,California,PBSP-Pelican Bay State Prison ,,0,,,4/1/2020
Prison,California,PVSP-Pleasant Valley State Prison ,,0,,,4/1/2020
Prison,California,RJD-Richard J. Donovan Correctional Facility ,,0,,,4/1/2020
Prison,California,"SAC-California State Prison, Sacramento ",4,0,,,4/1/2020
Prison,California,"SATF-CSP-California Substance Abuse Treatment Facility and State Prison, Corcoran ",1,0,,,4/1/2020
Prison,California,SCC-Sierra Conservation Center ,,0,,,4/1/2020
Prison,California,"SOL-California State Prison, Solano ",,0,,,4/1/2020
Prison,California,SQ-San Quentin State Prison ,1,0,,,4/1/2020
Prison,California,SVSP-Salinas Valley State Prison ,1,0,,,4/1/2020
Prison,California,VSP-Valley State Prison ,,0,,,4/1/2020
Prison,California,WSP-Wasco State Prison ,2,0,,,4/1/2020
Prison,California,Northern California Youth Correctional Center,1,,,,4/1/2020
Prison,California,Worksite - Riverside County,1,,,,4/1/2020
Prison,California,Richard A McGee Correctional Training Center - Galt,1,,,,4/1/2020
Prison,Colorado,State-Wide,2,0,,,4/1/2020
Prison,Connecticut,State-Wide,3,7,,,4/1/2020
Prison,Delaware,State-Wide,0,0,,,4/1/2020
Prison,Florida,Apalachee CI,1,0,,,4/1/2020
Prison,Florida,Blackwater CF (Geo Group),3,0,,,4/1/2020
Prison,Florida,Century CI,1,0,,,4/1/2020
Prison,Florida,Everglades CI,1,0,,,4/1/2020
Prison,Florida,FWRC,1,0,,,4/1/2020
