Facility,State,Name,Staff Confirmed,Residents confirmed,Staff Deaths,Resident Deaths,Date
Prison,Alabama,Alex City,,,,,4/3/2020
Prison,Alabama,ATEF,,,,,4/3/2020
Prison,Alabama,Bibb,,,,,4/3/2020
Prison,Alabama,Birmingham,,,,,4/3/2020
Prison,Alabama,Bullock,,,,,4/3/2020
Prison,Alabama,Camden,,,,,4/3/2020
Prison,Alabama,Childersburg,,,,,4/3/2020
Prison,Alabama,Donaldson,,,,,4/3/2020
Prison,Alabama,Easterling,,,,,4/3/2020
Prison,Alabama,Elba,,,,,4/3/2020
Prison,Alabama,Elmore,,,,,4/3/2020
Prison,Alabama,Fountain,,,,,4/3/2020
Prison,Alabama,Frank Lee,,,,,4/3/2020
Prison,Alabama,Hamilton A&I,,,,,4/3/2020
Prison,Alabama,Hamilton CBF,,,,,4/3/2020
Prison,Alabama,Holman,,,,,4/3/2020
Prison,Alabama,Kilby,,,,,4/3/2020
Prison,Alabama,Limestone,,,,,4/3/2020
Prison,Alabama,Loxley,,,,,4/3/2020
Prison,Alabama,Mobile,,,,,4/3/2020
Prison,Alabama,Montgomery,,,,,4/3/2020
Prison,Alabama,North Alabama,,,,,4/3/2020
Prison,Alabama,Red Eagle,,,,,4/3/2020
Prison,Alabama,St Clair,1,,,,4/3/2020
Prison,Alabama,Staton,1,,,,4/3/2020
Prison,Alabama,Tutwiler,,,,,4/3/2020
Prison,Alabama,Ventress,,,,,4/3/2020
Prison,Alaska,State-Wide,,,,,4/3/2020
Prison,Arizona,State-Wide,3,0,,,4/3/2020
Prison,Arkansas,State-Wide,1,,,,4/3/2020
Prison,California,ASP-Avenal State Prison ,,0,,0,4/3/2020
Prison,California,CAC-California City Correctional Facility ,,0,,0,4/3/2020
Prison,California,CAL-Calipatria State Prison ,,0,,0,4/3/2020
Prison,California,CCC-California Correctional Center ,,0,,0,4/3/2020
Prison,California,CCI-California Correctional Institution ,,0,,0,4/3/2020
Prison,California,CCWF-Central California Women’s Facility ,1,0,,0,4/3/2020
Prison,California,"CEN-California State Prison, Centinela ",,0,,0,4/3/2020
Prison,California,CHCF-California Health Care Facility ,1,0,,0,4/3/2020
Prison,California,CIM-California Institution for Men ,11,1,,0,4/3/2020
Prison,California,CIW-California Institution for Women ,,0,,0,4/3/2020
Prison,California,CMC-California Men’s Colony ,,0,,0,4/3/2020
