Facility,State,Name,Staff Confirmed,Residents confirmed,Staff Deaths,Resident Deaths,Date
Prison,Alabama,Alex City,0,0,0,0,4/8/2020
Prison,Alabama,ATEF,0,0,0,0,4/8/2020
Prison,Alabama,Bibb,0,0,0,0,4/8/2020
Prison,Alabama,Birmingham,0,0,0,0,4/8/2020
Prison,Alabama,Bullock,0,0,0,0,4/8/2020
Prison,Alabama,Camden,0,0,0,0,4/8/2020
Prison,Alabama,Childersburg,0,0,0,0,4/8/2020
Prison,Alabama,Donaldson,0,0,0,0,4/8/2020
Prison,Alabama,Easterling,0,0,0,0,4/8/2020
Prison,Alabama,Elba,0,0,0,0,4/8/2020
Prison,Alabama,Elmore,0,0,0,0,4/8/2020
Prison,Alabama,Fountain,0,0,0,0,4/8/2020
Prison,Alabama,Frank Lee,0,0,0,0,4/8/2020
Prison,Alabama,Hamilton A&I,0,0,0,0,4/8/2020
Prison,Alabama,Hamilton CBF,0,0,0,0,4/8/2020
Prison,Alabama,Holman,0,0,0,0,4/8/2020
Prison,Alabama,Kilby,0,0,0,0,4/8/2020
Prison,Alabama,Limestone,0,0,0,0,4/8/2020
Prison,Alabama,Loxley,0,0,0,0,4/8/2020
Prison,Alabama,Mobile,0,0,0,0,4/8/2020
Prison,Alabama,Montgomery,0,0,0,0,4/8/2020
Prison,Alabama,North Alabama,0,0,0,0,4/8/2020
Prison,Alabama,Red Eagle,0,0,0,0,4/8/2020
Prison,Alabama,St Clair,1,0,0,0,4/8/2020
Prison,Alabama,Staton,1,0,0,0,4/8/2020
Prison,Alabama,Tutwiler,0,0,0,0,4/8/2020
Prison,Alabama,Ventress,0,0,0,0,4/8/2020
Prison,Alaska,State-Wide,0,0,,0,4/8/2020
Prison,Arizona,State-Wide (for non-specific facilities),3,1,,0,4/8/2020
Prison,Arizona,Marana Community Correctional Treatment Facility,0,1,,0,4/8/2020
Prison,Arkansas,State-Wide,6,0,,0,4/8/2020
Prison,California,ASP-Avenal State Prison ,0,0,,0,4/8/2020
Prison,California,CAC-California City Correctional Facility ,0,0,,0,4/8/2020
Prison,California,CAL-Calipatria State Prison ,2,0,,0,4/8/2020
Prison,California,CCC-California Correctional Center ,0,0,,0,4/8/2020
Prison,California,CCI-California Correctional Institution ,0,0,,0,4/8/2020
Prison,California,CCWF-Central California Women’s Facility ,1,0,,0,4/8/2020
Prison,California,"CEN-California State Prison, Centinela ",2,0,,0,4/8/2020
Prison,California,CHCF-California Health Care Facility ,4,0,,0,4/8/2020
Prison,California,CIM-California Institution for Men ,18,14,,0,4/8/2020
Prison,California,CIW-California Institution for Women ,1,1,,0,4/8/2020
Prison,California,CMC-California Men’s Colony ,0,0,,0,4/8/2020
Prison,California,CMF-California Medical Facility ,0,0,,0,4/8/2020
Prison,California,"COR-California State Prison, Corcoran ",0,0,,0,4/8/2020
Prison,California,CRC-California Rehabilitation Center ,0,0,,0,4/8/2020
Prison,California,CTF-Correctional Training Facility ,0,0,,0,4/8/2020
Prison,California,CVSP-Chuckawalla Valley State Prison ,0,0,,0,4/8/2020
Prison,California,DVI-Deuel Vocational Institution ,0,0,,0,4/8/2020
Prison,California,FSP-Folsom State Prison ,4,0,,0,4/8/2020
Prison,California,HDSP-High Desert State Prison ,0,0,,0,4/8/2020
Prison,California,ISP-Ironwood State Prison ,0,0,,0,4/8/2020
Prison,California,KVSP-Kern Valley State Prison ,0,0,,0,4/8/2020
