Facility,State,Name,Staff Confirmed,Residents confirmed,Staff Deaths,Resident Deaths,Date
Prison,Alabama,Alex City,,,,,4/6/2020
Prison,Alabama,ATEF,,,,,4/6/2020
Prison,Alabama,Bibb,,,,,4/6/2020
Prison,Alabama,Birmingham,,,,,4/6/2020
Prison,Alabama,Bullock,,,,,4/6/2020
Prison,Alabama,Camden,,,,,4/6/2020
Prison,Alabama,Childersburg,,,,,4/6/2020
Prison,Alabama,Donaldson,,,,,4/6/2020
Prison,Alabama,Easterling,,,,,4/6/2020
Prison,Alabama,Elba,,,,,4/6/2020
Prison,Alabama,Elmore,,,,,4/6/2020
Prison,Alabama,Fountain,,,,,4/6/2020
Prison,Alabama,Frank Lee,,,,,4/6/2020
Prison,Alabama,Hamilton A&I,,,,,4/6/2020
Prison,Alabama,Hamilton CBF,,,,,4/6/2020
Prison,Alabama,Holman,,,,,4/6/2020
Prison,Alabama,Kilby,,,,,4/6/2020
Prison,Alabama,Limestone,,,,,4/6/2020
Prison,Alabama,Loxley,,,,,4/6/2020
Prison,Alabama,Mobile,,,,,4/6/2020
Prison,Alabama,Montgomery,,,,,4/6/2020
Prison,Alabama,North Alabama,,,,,4/6/2020
Prison,Alabama,Red Eagle,,,,,4/6/2020
Prison,Alabama,St Clair,1,,,,4/6/2020
Prison,Alabama,Staton,1,,,,4/6/2020
Prison,Alabama,Tutwiler,,,,,4/6/2020
Prison,Alabama,Ventress,,,,,4/6/2020
Prison,Alaska,State-Wide,,,,,4/6/2020
Prison,Arizona,State-Wide,3,0,,,4/6/2020
Prison,Arkansas,State-Wide,1,,,,4/6/2020
Prison,California,ASP-Avenal State Prison ,,0,,0,4/6/2020
Prison,California,CAC-California City Correctional Facility ,,0,,0,4/6/2020
Prison,California,CAL-Calipatria State Prison ,2,0,,0,4/6/2020
Prison,California,CCC-California Correctional Center ,,0,,0,4/6/2020
Prison,California,CCI-California Correctional Institution ,,0,,0,4/6/2020
Prison,California,CCWF-Central California Women’s Facility ,1,0,,0,4/6/2020
Prison,California,"CEN-California State Prison, Centinela ",2,0,,0,4/6/2020
Prison,California,CHCF-California Health Care Facility ,5,0,,0,4/6/2020
Prison,California,CIM-California Institution for Men ,16,7,,0,4/6/2020
Prison,California,CIW-California Institution for Women ,1,0,,0,4/6/2020
Prison,California,CMC-California Men’s Colony ,,0,,0,4/6/2020
Prison,California,CMF-California Medical Facility ,,0,,0,4/6/2020
Prison,California,"COR-California State Prison, Corcoran ",,0,,0,4/6/2020
Prison,California,CRC-California Rehabilitation Center ,,0,,0,4/6/2020
Prison,California,CTF-Correctional Training Facility ,,0,,0,4/6/2020
Prison,California,CVSP-Chuckawalla Valley State Prison ,,0,,0,4/6/2020
Prison,California,DVI-Deuel Vocational Institution ,,0,,0,4/6/2020
Prison,California,FSP-Folsom State Prison ,4,0,,0,4/6/2020
Prison,California,HDSP-High Desert State Prison ,,0,,0,4/6/2020
Prison,California,ISP-Ironwood State Prison ,,0,,0,4/6/2020
Prison,California,KVSP-Kern Valley State Prison ,,0,,0,4/6/2020
Prison,California,"LAC-California State Prison, Los Angeles County ",3,8,,0,4/6/2020
Prison,California,MCSP-Mule Creek State Prison ,,0,,0,4/6/2020
Prison,California,NKSP-North Kern State Prison ,,1,,0,4/6/2020
Prison,California,PBSP-Pelican Bay State Prison ,,0,,0,4/6/2020
Prison,California,PVSP-Pleasant Valley State Prison ,,0,,0,4/6/2020
Prison,California,RJD-Richard J. Donovan Correctional Facility ,,0,,0,4/6/2020
Prison,California,"SAC-California State Prison, Sacramento ",5,0,,0,4/6/2020
Prison,California,"SATF-CSP-California Substance Abuse Treatment Facility and State Prison, Corcoran ",2,1,,0,4/6/2020
Prison,California,SCC-Sierra Conservation Center ,,0,,0,4/6/2020
Prison,California,"SOL-California State Prison, Solano ",,0,,0,4/6/2020
Prison,California,SQ-San Quentin State Prison ,2,0,,0,4/6/2020
Prison,California,SVSP-Salinas Valley State Prison ,1,0,,0,4/6/2020
Prison,California,VSP-Valley State Prison ,1,0,,0,4/6/2020
Prison,California,WSP-Wasco State Prison ,3,0,,0,4/6/2020
Prison,California,Northern California Youth Correctional Center,1,,,,4/6/2020
Prison,California,Worksite - Riverside County,1,,,,4/6/2020
Prison,California,Worksite - Sacramento County,1,,,,4/6/2020
Prison,California,Worksite - San Bernardino County,1,,,,4/6/2020
Prison,California,Richard A McGee Correctional Training Center - Galt,2,,,,4/6/2020
Prison,Colorado,State-Wide,3,0,,,4/6/2020
Prison,Connecticut,Bridgeport CC,3,2,,,4/6/2020
Prison,Connecticut,Brooklyn CI,0,0,,,4/6/2020
Prison,Connecticut,Cheshire CI,2,0,,,4/6/2020
Prison,Connecticut,Corr-Rad CC,7,4,,,4/6/2020
Prison,Connecticut,Garner CI,1,0,,,4/6/2020
Prison,Connecticut,Hartford CC,8,4,,,4/6/2020
Prison,Connecticut,MWCI ,2,0,,,4/6/2020
Prison,Connecticut,Manson Youth,0,0,,,4/6/2020
Prison,Connecticut,New Haven CC,3,1,,,4/6/2020
Prison,Connecticut,Northern CI,0,0,,,4/6/2020
Prison,Connecticut,Osborn CI,1,0,,,4/6/2020
Prison,Connecticut,Carl Robinson CI,2,2,,,4/6/2020
